Age,Profession,Sex,Province,S_Occasion,S_Frequency,S_Screentime,S_Time(weekday),S_Time(weekend),S_Usage(festival),S_Influence,C_Frequency,C_Favorite,C_BestBrand,C_Occasion,C_Fresh_Taste,C_Intense,C_Smooth,C_Acidic,C_Aroma,C_Alert,C_Origin,C_Portable,C_Value,C_Nutrition,C_Brand_Trust,C_Premium_Look,T_Occasion,T_Frequency,T_Favorite,T_Reason,T_Trial,T_Channel,T_Aroma,T_Intense,T_No_Sugar,T_Zero_Cal,T_Nutrition,T_Origin,T_Brew_Method,T_Portable,T_Brand_Trust,T_Premium_Look,Cluster_ID
30-39ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,Facebook,ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,"บิลบอร์ด/ป้ายโฆษณา, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",ไม่ดื่มกาแฟประเภทใดเลย,ไม่ดื่มกาแฟ,ไม่ดื่มกาแฟ Ready to Drink เลย,ไม่ดื่มกาแฟ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",ชาแก้วขายตามร้าน เช่น Kamu,ชาแก้วขายตามร้าน เช่น Kamu,รสชาติสดใหม่,ลองเลย ชอบลองของออกใหม่อยู่แล้ว,ซื้อจากร้านสะดวกซื้อ เช่น 7-11,5.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,ชอบชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,สมุทรปราการ,Instagram,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้มากกว่าปกติ,"โทรทัศน์, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,High Coffee,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ","ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi","ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi",ชาขวดพร้อมดื่ม เพราะหาดื่มง่าย,ลองเมื่อมีโปรโมชั่น ณ​ จุดขาย,"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops",3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,ชอบทั้งกาแฟและชา
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ทุกวัน,3-4 ชม./วัน,"9.00-17.59น., 18.00-21.59น.",9.00-17.59น.,ใช้น้อยกว่าปกติ,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok, แอปพลิเคชั่นแชท/ส่งเมสเสจ เช่น LINE, Facebook Messenger, แพลตฟอร์มวิดีโอ เช่น YouTube, VIU",กาแฟผงสำเร็จรูป,กาแฟสดคั่วบด,Arabic,ดื่มระหว่างเดินทาง/ขับรถ,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,ดื่มเมื่ออยาก,ชาแก้วขายตามร้าน เช่น Kamu,ชาแก้วขายตามร้าน เช่น Kamu,อร่อย,ลองถ้ามีสินค้ามาแจก (Product Sampling),"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops, ซื้อจากช่องทางออนไลน์​ เช่น Shopee, ซื้อจากเพจของแบรนด์นั้นๆ",5.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,ชอบทั้งกาแฟและชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,TikTok,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,"สื่อ ณ จุดขาย, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,ไม่ดื่มกาแฟ Ready to drink เลย,ไม่ดื่มกาแฟ Ready to drink เลย,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,5.0,1.0,1.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม","ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi","ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi",อร่อย มีสูตรไม่ใส่น้ำตาล สะดวก ไม่ต้องชงเอง รสชาติใกล้เคียง,ลองถ้ามีสินค้ามาแจก (Product Sampling),ซื้อจากร้านสะดวกซื้อ เช่น 7-11,5.0,5.0,5.0,5.0,5.0,2.0,1.0,4.0,1.0,1.0,ชอบทั้งกาแฟและชา
40-49ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,TikTok,ทุกวัน,3-4 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,ไม่มี,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,ชาแก้วขายตามร้าน เช่น Kamu,ชาแก้วขายตามร้าน เช่น Kamu,"สุขภาพ, รสชาติ",ลองถ้าเห็นคนรีวิวเยอะ,ซื้อจากร้านสะดวกซื้อ เช่น 7-11,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,ชอบชา
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,"สื่อ ณ จุดขาย, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok, แพลตฟอร์มวิดีโอ เช่น YouTube, VIU",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,Arabic,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล","ชงเอง เช่น ผงชา, ใบชา, ถุงชา","ชงเอง เช่น ผงชา, ใบชา, ถุงชา",สะดวก กำหนดรสชาติเองได้,ลองเมื่อมีโปรโมชั่น ณ​ จุดขาย,"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops",2.0,1.0,4.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,ชอบทั้งกาแฟและชา
50ปี ขึ้นไป,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,"โทรทัศน์, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",กาแฟผงสำเร็จรูปพร้อมดื่ม (3-in-1),แคปซูลกาแฟ,ไม่ดื่มกาแฟ Ready to drink เลย,ไม่ดื่มกาแฟ Ready to drink เลย,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ","ชงเอง เช่น ผงชา, ใบชา, ถุงชา","ชงเอง เช่น ผงชา, ใบชา, ถุงชา",ชอบรสชาด ธรรมชาติ,"ลองเลย ชอบลองของออกใหม่อยู่แล้ว, ลองถ้ามีสินค้ามาแจก (Product Sampling)","ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops",5.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,ชอบชา
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ทุกวัน,1-2 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้เท่าเดิม,"โทรทัศน์, วิทยุ, สื่อ ณ จุดขาย, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok, แพลตฟอร์มวิดีโอ เช่น YouTube, VIU",ไม่ดื่มกาแฟประเภทใดเลย,ไม่ดื่มกาแฟ,ไม่ดื่มกาแฟ Ready to Drink เลย,ไม่ดื่มกาแฟ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ","ชงเอง เช่น ผงชา, ใบชา, ถุงชา",ชาแก้วขายตามร้าน เช่น Kamu,อร่อย สดชื่น,"ลองถ้าเห็นโฆษณาน่าสนใจ, ลองถ้ามีสินค้ามาแจก (Product Sampling)","ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops",4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,ชอบชา
23-29ปี,พนักงานบริษัทเอกชน,หญิง,นนทบุรี,Twitter,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,"โทรทัศน์, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,ไม่ดื่มกาแฟ Ready to drink เลย,ไม่ดื่มกาแฟ Ready to drink เลย,5.0,4.0,5.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,ชาแก้วขายตามร้าน เช่น Kamu,ชาแก้วขายตามร้าน เช่น Kamu,สะดวก รสชาติอร่อย,"ลองเมื่อมีโปรโมชั่น ณ​ จุดขาย, ลองถ้าเห็นคนรีวิวเยอะ, ลองถ้ามีสินค้ามาแจก (Product Sampling)","ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops, ซื้อจากร้านโชว์ห่วย/ร้านชำ",4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,ชอบทั้งกาแฟและชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,สงขลา,TikTok,ทุกวัน,5-6 ชม./วัน,"05.00-8.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้น้อยกว่าปกติ,"สื่อ ณ จุดขาย, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok, แพลตฟอร์มวิดีโอ เช่น YouTube, VIU",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,Arabic,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก","ชงเอง เช่น ผงชา, ใบชา, ถุงชา","ชงเอง เช่น ผงชา, ใบชา, ถุงชา",ไม่อ้วน ดื่มในที่ทำงาน ผ่อนคลาย โล่งจมูก,"ลองเมื่อมีโปรโมชั่น ณ​ จุดขาย, ลองถ้ามีสินค้ามาแจก (Product Sampling)","ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops, ซื้อจากร้านโชว์ห่วย/ร้านชำ",5.0,4.0,5.0,5.0,2.0,3.0,1.0,2.0,3.0,4.0,ชอบทั้งกาแฟและชา
50ปี ขึ้นไป,พนักงานบริษัทเอกชน,หญิง,สงขลา,Facebook,5-6 ครั้ง/อาทิตย์,มากกว่า 6 ชม./วัน,05.00-8.59น.,05.00-8.59น.,ใช้เท่าเดิม,"แอปพลิเคชั่นแชท/ส่งเมสเสจ เช่น LINE, Facebook Messenger",กาแฟผงสำเร็จรูป,กาแฟผงสำเร็จรูป,ไม่ดื่มกาแฟ Ready to drink เลย,ดื่มให้ตื่นตัวในตอนเช้า,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,ดื่มหลังออกกำลังกาย,"ชงเอง เช่น ผงชา, ใบชา, ถุงชา","ชงเอง เช่น ผงชา, ใบชา, ถุงชา",อร่อย,ลองเลย ชอบลองของออกใหม่อยู่แล้ว,ซื้อจากช่องทางออนไลน์​ เช่น Shopee,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,ชอบทั้งกาแฟและชา
50ปี ขึ้นไป,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,LINE,ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok, แพลตฟอร์มวิดีโอ เช่น YouTube, VIU",กาแฟพร้อมดื่ม (Ready to drink),กาแฟสดคั่วบด,Newcafe,ดื่มระหว่างเดินทาง/ขับรถ,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ดื่มระหว่างเดินทาง/ขับรถ,ชาแก้วขายตามร้าน เช่น Kamu,ชาแก้วขายตามร้าน เช่น Kamu,คุณภาพ รสชาติและราคา,ลองเลย ชอบลองของออกใหม่อยู่แล้ว,"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops, ซื้อจากร้านโชว์ห่วย/ร้านชำ",4.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,ชอบทั้งกาแฟและชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,นครราชสีมา,LINE,ทุกวัน,5-6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,Promotion via online shopping app e.g. shopee lazada,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,Best,ดื่มระหว่างเดินทาง/ขับรถ,3.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,5.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ","ชงเอง เช่น ผงชา, ใบชา, ถุงชา","ชงเอง เช่น ผงชา, ใบชา, ถุงชา",สะดวก เก็บได้นาน,ลองถ้ามีสินค้ามาแจก (Product Sampling),"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops",5.0,3.0,5.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,ชอบทั้งกาแฟและชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ทุกวัน,มากกว่า 6 ชม./วัน,9.00-17.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,"โทรทัศน์, หนังสือพิมพ์/นิตยสาร, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok, แพลตฟอร์มวิดีโอ เช่น YouTube, VIU",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,Kokiko,ดื่มระหว่างเดินทาง/ขับรถ,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,"ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi","ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi",สะดวกในการพกพาและรสชาติอร่อย,ลองเลย ชอบลองของออกใหม่อยู่แล้ว,"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops",4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,ชอบทั้งกาแฟและชา
40-49ปี,พนักงานบริษัทเอกชน,หญิง,นนทบุรี,Facebook,ทุกวัน,มากกว่า 6 ชม./วัน,9.00-17.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,สื่อ ณ จุดขาย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,ไม่ดื่มกาแฟ Ready to drink เลย,ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ","ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi","ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi",รสชาติดี สะดวก,ลองเลย ชอบลองของออกใหม่อยู่แล้ว,"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops, ซื้อจากร้านโชว์ห่วย/ร้านชำ",5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,ชอบทั้งกาแฟและชา
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Twitter,ทุกวัน,5-6 ชม./วัน,"9.00-17.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,Arabic,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",3.0,3.0,5.0,1.0,5.0,4.0,1.0,5.0,3.0,3.0,3.0,4.0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",ชาแก้วขายตามร้าน เช่น Kamu,ชาแก้วขายตามร้าน เช่น Kamu,ชอบชาแก้ว เพราะว่ารู้สึกมันชงสดๆ สามารถเลือกความหวานความเข้มข้นได้ มีหลากหลาย,"ลองเลย ชอบลองของออกใหม่อยู่แล้ว, ลองถ้าเห็นโฆษณาน่าสนใจ, ลองถ้าเห็นคนรีวิวเยอะ, ลองถ้ามีสินค้ามาแจก (Product Sampling)","ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops, ซื้อจากร้านโชว์ห่วย/ร้านชำ",4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,ชอบทั้งกาแฟและชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,ปทุมธานี,Twitter,ทุกวัน,5-6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,"บิลบอร์ด/ป้ายโฆษณา, สื่อ ณ จุดขาย, โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,Best,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,ชาแก้วขายตามร้าน เช่น Kamu,ชาแก้วขายตามร้าน เช่น Kamu,สะดวก อร่อย,ลองถ้ามีสินค้ามาแจก (Product Sampling),"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops",3.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,ชอบทั้งกาแฟและชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,TikTok,ทุกวัน,5-6 ชม./วัน,9.00-17.59น.,9.00-17.59น.,ใช้น้อยกว่าปกติ,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok, เว็บไซต์",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,ไม่ดื่มกาแฟ Ready to drink เลย,ไม่ดื่มกาแฟ Ready to drink เลย,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ดื่มระหว่างเดินทาง/ขับรถ,ชาแก้วขายตามร้าน เช่น Kamu,ชาแก้วขายตามร้าน เช่น Kamu,สะดวก อร่อย,ลองถ้ามีสินค้ามาแจก (Product Sampling),ซื้อจากร้านสะดวกซื้อ เช่น 7-11,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,ชอบชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Instagram,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",22.01-4.59น.,ใช้เท่าเดิม,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",ไม่ดื่มกาแฟประเภทใดเลย,ไม่ดื่มกาแฟ,ไม่ดื่มกาแฟ Ready to Drink เลย,ไม่ดื่มกาแฟ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,"ชงเอง เช่น ผงชา, ใบชา, ถุงชา",ชาแก้วขายตามร้าน เช่น Kamu,น่ากิน,ลองเลย ชอบลองของออกใหม่อยู่แล้ว,"ซื้อจากร้านสะดวกซื้อ เช่น 7-11, ซื้อจากซุปเปอร์มาเก็ต เช่น Tops",5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,ชอบชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้มากกว่าปกติ,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",แคปซูลกาแฟ,กาแฟสดคั่วบด,ไม่ดื่มกาแฟ Ready to drink เลย,ไม่ดื่มกาแฟ Ready to drink เลย,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,1.0,5.0,5.0,5.0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ","ชาขวดพร้อมดื่ม เช่น Tea P+, Orishi","ชงเอง เช่น ผงชา, ใบชา, ถุงชา",คุณภาพดีที่สุด ไม่ถูกปรรูปด้วยวิธีใดๆ,ลองเลย ชอบลองของออกใหม่อยู่แล้ว,ซื้อจากร้านสะดวกซื้อ เช่น 7-11,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,ชอบทั้งกาแฟและชา
40-49ปี,แพทย์,ชาย,นนทบุรี,LINE,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,"9.00-17.59น., 18.00-21.59น.",ใช้มากกว่าปกติ,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok",กาแฟผงสำเร็จรูป,กาแฟสดคั่วบด,ไม่ดื่มกาแฟ Ready to drink เลย,ไม่ดื่มกาแฟ Ready to drink เลย,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,"ชงเอง เช่น ผงชา, ใบชา, ถุงชา","ชงเอง เช่น ผงชา, ใบชา, ถุงชา",ไม่หวาน ราคาถูก ไม่มีขยะพลาสติก,ไม่ลอง,ซื้อจากร้านสะดวกซื้อ เช่น 7-11,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,ชอบทั้งกาแฟและชา
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ทุกวัน,3-4 ชม./วัน,22.01-4.59น.,"9.00-17.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,"โซเชียลมีเดีย เช่น Facebook, Instagram, Twitter, TikTok, แพลตฟอร์มวิดีโอ เช่น YouTube, VIU",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,กาแฟสดคั่วบด,ไม่ดื่มกาแฟ Ready to drink เลย,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,ไม่ดื่มชา,ไม่ดื่มชา,ไม่ดื่มชา,ไม่ดื่มชา,ไม่ลอง,ไม่ซื้อชา ready to drink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ชอบกาแฟ
